,Year,sta_con,yield(t/ha),PDSI_Planting,PDSI_Emerging,PDSI_Blooming,PDSI_Podding,PDSI_Dropping leaves,PDSI_Harvest,PIC
6437,2016,indiana_jefferson,2.94336,1.7250740978597978,1.6636447457411034,1.4806840635861729,1.7611318652060433,2.539916256346653,2.2006776065300016,0.0496611415599508
6479,2016,indiana_jennings,3.48768,1.780209083402312,1.710914283479963,1.5769402716170144,1.883114266994196,2.7623441540730465,2.718071017781378,0.0414415007779866
6521,2016,indiana_ripley,3.50112,1.061943834015484,0.9989288690458,0.98944723552103,1.368213915274256,3.5719250440224544,3.815972596195573,0.0496611415599508
6602,2016,indiana_daviess,3.72288,-0.1253461534987088,-0.1882075148241979,0.1292951707926467,0.7339970176534134,2.1775321787073274,2.111129405460119,0.0050950653918012
6644,2016,indiana_dubois,3.57504,1.5839438226118414,1.53235752137737,1.3813121171262068,1.943063281264188,2.357815593066319,1.859801223636108,0.0496611415599508
6685,2016,indiana_gibson,3.71616,1.8452306387423465,1.775282596983591,1.4546054408074005,1.7036660963533947,2.101220521915833,1.7718492089672662,0.0335323514206647
6726,2016,indiana_greene,3.4137599999999995,-0.005075394921888,-0.0890920923369146,0.1625226959524991,0.9532437557318332,2.703070294039491,2.7671943601467266,0.0134617879849487
6766,2016,indiana_knox,3.80352,0.3473215565233795,0.2897826690972682,0.0155759056052231,0.2959332757859566,2.11180622026764,2.095034638977088,0.0586279640107043
6804,2016,indiana_martin,3.71616,0.0712692320346832,-0.0275384661478873,0.1518461514168824,0.7433589939887707,1.7075384699381315,1.584384632110596,0.1508991610449934
6843,2016,indiana_pike,3.4272,0.9792185358604646,0.9205568596976952,0.6576017719712223,1.1608087588838143,2.214733263126422,2.010891447106681,0.0646430637929023
6882,2016,indiana_posey,3.62208,1.8003858824509271,1.7661765085737653,1.876294485184964,2.4349849514586097,2.9460636956721364,2.774280547083782,0.0766042502053979
6923,2016,indiana_spencer,3.5212799999999995,2.878327145802518,2.8127706020887886,2.591723102889214,3.10455337250398,3.344022883518555,2.855476199728462,0.033686123759144
6963,2016,indiana_sullivan,3.55488,0.2202237987820757,0.1138061268259755,0.0431546923413305,0.2754243811860135,1.6778210433023142,1.7255659277944952,0.0388638465094775
7005,2016,indiana_vanderburgh,3.89088,2.7229212939454945,2.655569691347204,2.5948436918496203,3.248147805658167,3.506768611163517,3.1882644522171137,0.0274473924977127
7045,2016,indiana_warrick,3.37344,2.673900130304318,2.5997046470931435,2.49406251422217,3.059578278062799,3.123888053289316,2.641392586131891,0.0526638906887116
7126,2016,indiana_fountain,3.99168,1.896328766615298,1.7804026523006404,1.5581265745996873,1.802017085952304,2.60016649850552,2.80651921162941,0.0258466942236392
7165,2016,indiana_montgomery,4.3008,1.524472124139468,1.404445054803232,1.1241931299847188,1.2332006092232588,1.6640181738463315,1.6949006029210911,0.0065103079876471
7205,2016,indiana_owen,3.28608,0.1713926597936097,0.0808478463104872,0.216560276386134,0.5960734854407277,2.090759187072112,2.270773672273588,0.0742873211048388
