,Year,sta_con,yield(t/ha),PDSI_Planting,PDSI_Emerging,PDSI_Blooming,EVI_Podding,PDSI_Podding,PDSI_Dropping leaves,PDSI_Harvest,PIC
20693,2012,nebraska_pierce,2.67456,-3.232365535788269,-3.280829617119328,-4.366663271661878,0.4757327172929144,-5.11622827004916,-6.40417995403607,-6.777659057395008,0.5241599475695086
20735,2012,nebraska_stanton,1.7404799999999998,-3.596389469984037,-3.717310816809547,-4.627591890997191,0.4284423530838812,-5.456722673534333,-6.784159137696892,-7.113474823659109,0.5241599475695086
20775,2012,nebraska_thurston,2.02272,-3.826140341304597,-3.867555292366313,-4.545114820668487,0.4916733353265767,-5.319992332231431,-6.5452504866788175,-6.853401355435249,0.5241599475695086
20814,2012,nebraska_wayne,1.78752,-3.766401947172064,-3.796521516736044,-4.760856406654467,0.4681757547811901,-5.546332539781998,-6.750743182728354,-7.081899511985231,0.5241599475695086
20855,2012,nebraska_adams,3.81696,-2.083392000646392,-2.358898661853471,-3.251801898998947,0.6056613695003433,-3.739502841183167,-4.694624143973102,-4.933642908576328,0.5241599475695086
20897,2012,nebraska_franklin,3.2928,-1.301949101892395,-1.6040452487773704,-2.789040591759063,0.5885826007669678,-3.219108331548512,-4.123380026860361,-4.389103586711581,0.5241599475695086
20936,2012,nebraska_furnas,2.51328,-1.1399999856948853,-1.4000000357627869,-3.032500028610229,0.436057223403796,-3.4924999475479126,-4.456666628519694,-4.739999771118164,0.5241599475695086
21008,2012,nebraska_harlan,3.2256,-1.2236084866788026,-1.4717042845860422,-2.9768744930801936,0.5465018094929355,-3.3906076786920187,-4.239704515412352,-4.490989802663325,0.5241599475695086
21048,2012,nebraska_kearney,4.166399999999999,-1.6354139894247055,-1.920534789869465,-3.1055186641277723,0.6278445675019921,-3.538770977369288,-4.413209868306966,-4.667163368045669,0.5241599475695086
21089,2012,nebraska_phelps,4.38144,-1.38954691681018,-1.6375657314939032,-3.1385314659014947,0.6638465325277411,-3.67504888014668,-4.5395551584140295,-4.796982056465907,0.5241599475695086
