,Year,sta_con,yield(t/ha),PDSI_Planting,PDSI_Emerging,PDSI_Silking,EVI_Dough,PDSI_Dough,PDSI_Dent,PDSI_Maturity,PDSI_Harvest,PIC
15291,2012,minnesota_jackson,11.1138089264,-2.351957943348893,-1.9580854913336607,-1.7696493133345594,0.6275526328352481,-2.847361627554913,-3.159139346893165,-3.727256091634272,-4.311361346398211,0.0853856942047258
15333,2012,minnesota_lincoln,9.018993925600002,-2.8294725333976345,-2.2693938912306115,-1.856180446452333,0.5706925583684893,-3.0174458937301427,-3.220308099107339,-3.6302337156405664,-4.158100350711972,0.0853856942047258
15374,2012,minnesota_lyon,9.5709212312,-2.922339410766784,-2.3541681484136245,-1.7741997103327278,0.5926206713381207,-2.6435748544412725,-2.7420830099234057,-3.1352950973510207,-3.736883176610928,0.0853856942047258
15416,2012,minnesota_murray,9.4517551084,-2.743644990515948,-2.164799173556594,-1.650323001819895,0.6120418472889904,-2.7409933903052908,-2.928071996159795,-3.3338433261741027,-3.842793534840383,0.0853856942047258
15458,2012,minnesota_nobles,9.752806366000002,-2.493801839034364,-2.079722964129525,-2.0310969775647845,0.635300303630424,-3.224222616373139,-3.493592603517675,-3.9439592328054944,-4.451297477017882,0.0853856942047258
15500,2012,minnesota_pipestone,9.0064501232,-2.540766193744501,-1.9357526555397664,-1.429036706816892,0.5806077959251416,-2.5997163377872674,-2.8478441635037166,-3.3006193650752493,-3.8139409774950894,0.0853856942047258
15541,2012,minnesota_redwood,10.2921898692,-2.708323144195485,-2.174221987038471,-1.5722893424942013,0.626746838000807,-2.445323338568413,-2.573206688566551,-3.055294226651279,-3.7108488510472064,0.0853856942047258
15583,2012,minnesota_rock,9.834341081600002,-2.8908602200396416,-2.41164308757973,-2.573878138935347,0.6013777477090411,-3.815880872645504,-4.050009539276267,-4.359543446657466,-4.7692069383237445,0.0853856942047258
15625,2012,minnesota_big stone,10.2169270548,-2.363271653024237,-2.1258482727460453,-2.375893700036277,0.6131339958936066,-3.04913119662867,-3.184589280846586,-3.583386985360218,-4.266622309379942,0.0853856942047258
15667,2012,minnesota_chippewa,11.258062654000002,-3.03382805839282,-2.6891474923817555,-1.969668775043186,0.638033893570062,-2.86422872245052,-3.0355160271065045,-3.5620277488608325,-4.344056806870132,0.0853856942047258
15708,2012,minnesota_douglas,10.436443596800002,-2.5653281937136905,-2.230765008157071,-1.888011244678736,0.5564063756166873,-2.4319526205469097,-2.50617925901246,-3.1708550477032142,-4.148379184131345,0.0853856942047258
15748,2012,minnesota_grant,11.477579196,-2.56917109997209,-2.3253187051960382,-2.8241711156362443,0.5975043263075173,-3.281871952990892,-3.218604467270031,-3.664126830408088,-4.498413714188782,0.0853856942047258
15789,2012,minnesota_lac qui parle,9.376492294,-2.913521104931919,-2.5885203597753272,-2.3870438519493016,0.5814224335258461,-3.387812717829167,-3.5775538414518184,-4.008021485390794,-4.662921716423938,0.0853856942047258
15830,2012,minnesota_otter tail,9.4141237012,-2.6606856846105,-2.357773655856563,-2.493378426233111,0.5252489932856401,-2.917366489258334,-2.834858606245687,-3.2819227412447782,-4.192009841400409,0.0853856942047258
15872,2012,minnesota_pope,10.969555198800002,-2.8467451165322046,-2.633579868704006,-2.3155631228020725,0.5839322123940898,-2.9540337824915595,-3.03910866937306,-3.604672764521171,-4.522590952268722,0.0853856942047258
15914,2012,minnesota_stevens,11.684551935600002,-2.5610183380828486,-2.3780047472422705,-2.5004794454886863,0.6363234025797807,-3.103392811497726,-3.159687867251617,-3.595055466832571,-4.409304801936512,0.0853856942047258
15956,2012,minnesota_swift,11.4650353936,-3.142931163225313,-2.9222344535735707,-2.50692993261396,0.6368354802890743,-3.3099709908547004,-3.448464144975357,-3.946136652015519,-4.748769245651571,0.0853856942047258
15997,2012,minnesota_traverse,11.408588282800002,-2.4499236926345462,-2.2520692066494585,-2.939176750030047,0.6630484863576152,-3.319013363460419,-3.2360887099908187,-3.503372196309617,-4.200907970398156,0.0853856942047258
16039,2012,minnesota_wilkin,10.4238997944,-2.4902902428026934,-2.23430634739968,-2.9004231864218863,0.5740927357967431,-3.4110280820498486,-3.258260936957564,-3.545110633174416,-4.361769211439925,0.0853856942047258
16079,2012,minnesota_yellow medicine,9.188335258,-2.9918984414628,-2.564085413444077,-2.184049456441872,0.5885473621453531,-3.1019126619467743,-3.24504585391582,-3.6790377577243687,-4.331629474783132,0.0853856942047258
16117,2012,missouri_benton,2.7220051208,-1.9483333428700764,-1.8733333349227903,-3.6875,0.3043142167437572,-4.484999895095825,-4.9966667493184405,-5.298333485921224,-5.661666711171468,0.2247161039904944
16153,2012,missouri_boone,2.5777513932,-2.992157587401319,-2.773914702794965,-3.97797472116559,0.412563038209587,-4.845087279645048,-5.289870899777079,-5.519631771462216,-5.616337202624142,0.2247161039904944
16193,2012,missouri_callaway,2.6216547016,-2.7691667079925537,-2.633333325386048,-4.048750042915344,0.4703188453369841,-4.806249976158142,-5.259166558583577,-5.513333241144816,-5.737499872843425,0.2247161039904944
16264,2012,missouri_cooper,3.5875274864000004,-1.8590994631984497,-1.684424177674609,-3.3224485194142805,0.4100633197869416,-4.1182519088007545,-4.583110622221145,-4.883760987203776,-5.277518176415023,0.2247161039904944
16301,2012,missouri_howard,5.0990556756,-2.118654508784104,-1.980138965170399,-3.492215867982079,0.4958619069431217,-4.341638354330316,-4.8288356748804375,-5.117417091152073,-5.368110935948675,0.2247161039904944
16335,2012,missouri_moniteau,2.7533646268000003,-1.6403566335837043,-1.2874933400154112,-2.8111649761199944,0.3788515442072001,-3.588195122718811,-4.047853403727213,-4.353229982058207,-4.824239854176839,0.2247161039904944
16374,2012,missouri_morgan,2.540119986,-1.7899999618530271,-1.6899999777475994,-3.470000028610229,0.3715693862220806,-4.252500057220459,-4.688333352406819,-4.96999994913737,-5.368333339691162,0.2247161039904944
