,Year,sta_con,yield(t/ha),PDSI_Planting,PDSI_Emerging,PDSI_Silking,PDSI_Dough,PDSI_Dent,PDSI_Maturity,PDSI_Harvest,PIC
2653,2016,illinois_white,8.4796104224,1.0978579647056887,1.1661660050698142,0.8476721713597626,1.2370560229513208,1.4245588177480135,1.8960682933707016,2.0142680104450457,0.1340677838082803
2692,2016,illinois_alexander,8.247550078,1.304667867417705,1.2602213951054535,1.1681272921966892,1.6112115650012775,2.050119946363667,2.647638429134974,2.4944341508224883,0.3723853387065822
2731,2016,illinois_clinton,9.7151749588,0.8239161917796007,0.8099847496888409,-0.9925282527359248,-0.899246064641463,-0.4637654745759395,0.9513616418471252,1.7292123235507857,0.0072201953630693
2772,2016,illinois_jackson,8.5736889404,1.399999976158142,1.368333339691162,1.3299999833106997,1.7116666634877522,2.169999957084656,3.114999930063884,3.4800000190734863,0.0231978775721496
2845,2016,illinois_monroe,9.3576765904,-0.167131402458327,-0.0812063564426082,-0.6022014757289021,-0.4361829968624534,0.4582004758409455,2.0870791472459813,2.635907279032189,0.0434256926952141
2887,2016,illinois_perry,7.0621607512,0.791529144887967,0.8441778842821964,0.749118832104543,0.870970108013695,1.5205313695920424,2.9216158881137546,3.430624806114733,0.0522758100712867
2927,2016,illinois_pulaski,8.874740198000001,1.6602917608778558,1.6153627617752762,1.4981940604910866,1.87828074920566,2.254053679926538,2.8251367620614545,2.637686610096511,0.1955181472149252
2966,2016,illinois_randolph,8.4733385212,0.7415818256148068,0.7464024447552385,0.7947291946454256,1.0705981733917949,1.643210141596989,2.792677841610674,3.1770215265772683,0.0007105254658786
3038,2016,illinois_washington,8.799477383600001,1.1666052223350598,1.155315268271652,0.0592319560052271,-0.077240865071292,0.5044546918761633,1.9775791876396829,2.604525653866528,0.0074594307906825
3119,2016,illinois_adams,12.1110412172,0.0044416752525155,0.0055251388055399,-1.1790082685943557,-0.9214658532985754,-0.6016922535987383,0.327787580324942,0.6469935436709321,0.0398655533043671
3160,2016,illinois_brown,11.433675887600002,-1.2240768198373415,-1.2027773954735497,-1.2746619398443446,-0.9479449889878818,-0.751807393041154,0.2065412597284039,0.5479386256099431,0.0083989982285749
3201,2016,illinois_fulton,12.2364792412,-0.3140772583438958,-0.4710085013341955,-1.442778029817072,-0.707507923236436,0.0952467141329783,1.354651421414949,1.6480415859043012,0.0042257409203196
3243,2016,illinois_hancock,13.0204668912,0.6379265671644663,0.4207895403261912,-1.3492744964176642,-0.979967511344874,-0.4116159400753483,0.27834920347555,0.3301882950276874,0.0292044195756525
3284,2016,illinois_henderson,12.982835484,1.2472388718877814,1.1883908448342404,-0.2219415180873591,0.8948467669862644,1.4936067483675428,1.839475750106655,1.8445179186287708,0.0966316889252294
3325,2016,illinois_knox,14.0051553796,0.6801035720331214,0.5337394661860478,-0.0541521801574359,0.8888201940470511,1.2649598699505051,1.9706140045454328,2.1950716943076607,8.898924898635684e-05
3367,2016,illinois_mcdonough,13.3089743464,0.7644037657632066,0.5498433473422776,-0.9541276944151292,-0.5451295548972163,0.1481816264364158,1.2019189169543978,1.4306862844332764,0.034092497087172
3408,2016,illinois_schuyler,11.697095738000002,-0.3178826035909712,-0.4246344281405056,-1.597515890278348,-1.3708132910405435,-1.1598422011626135,-0.2782069376022437,0.4054507274334883,0.0181362605894284
3450,2016,illinois_warren,14.3751975504,1.0201809979954717,0.9925834839588692,-0.0859996704020358,0.8069736137733458,1.228723212898856,1.628346394023608,1.6298811468213794,0.0367321169265736
3569,2016,illinois_cass,12.6880561276,-0.0728673600232633,-0.2338513198618684,-1.4206508359766443,-1.0569757306606782,-0.7744297882941673,0.2995270945665059,0.563230823258832,0.2694321572451906
3611,2016,illinois_christian,12.7445032384,1.3799671156502318,1.4097108616331873,1.0912192061717467,1.570222104645871,1.84788302866314,2.084518910282932,2.0028251897554985,8.925711825518085e-05
3653,2016,illinois_greene,11.7221833428,2.125637147070704,1.9350257950529104,0.9737693393624408,1.4904994496458333,1.7953803248151077,2.092594164981009,2.0854654014073684,0.0047981483202257
3695,2016,illinois_jersey,11.0134585072,1.7670950565813324,1.617871738125651,0.7391215603678454,1.7106520842812298,2.1913433170950354,2.6095971871814045,2.695622142687004,0.0522758100712867
3735,2016,illinois_macoupin,12.4936271904,1.680242410056596,1.6269711954442725,1.1246279933318442,1.6942561244208267,2.0598201642751577,2.3539174172950537,2.401735895483802,0.0522758100712867
3777,2016,illinois_madison,10.787670064,1.7799813240603672,1.7969717892973656,0.9165897207100536,1.291201876989624,1.669765018029834,2.497631440656831,2.9141435815192174,0.0036408465173618
3819,2016,illinois_montgomery,12.3493734628,1.3823925306565323,1.427976505872414,1.285324261382109,1.84292353729153,2.1630697539719868,2.486671448276657,2.5707846722949776,0.000929526902859
3861,2016,illinois_morgan,12.8950288672,0.7743633066979911,0.6438315425901486,-1.0233590451050676,-0.4614593113548018,0.098345970654928,0.7761263338801488,0.7190938752921378,0.0444663956536605
