Year,sta_con,irrigated maize area,maize area,PIC
2003,florida_hamilton,1825.0,2378.0,0.7674516400336417
2003,florida_madison,889.0,4761.0,0.18672547784078974
2003,florida_nassau,3.0,162.0,0.018518518518518517
2003,florida_suwannee,585.0,1807.0,0.3237410071942446
2003,florida_escambia,542.0,1917.0,0.2827334376630151
2003,florida_jackson,1529.0,3423.0,0.4466841951504528
2003,florida_jefferson,8.5,4091.0,0.002077731605964312
2003,florida_leon,750.0197132616488,793.0,0.945800395033605
2003,florida_washington,286.0,1075.0,0.266046511627907
2003,florida_miami-dade,209.0,337.6666666666667,0.6189536031589338
2003,georgia_bibb,1955.1984228474,205.0,1.0
2003,georgia_bleckley,575.0,1273.0,0.4516889238020424
2003,georgia_butts,1955.1984228474,24.0,1.0
2003,georgia_crawford,1955.1984228474,133.0,1.0
2003,georgia_dodge,966.0,1793.0,0.5387618516452872
2003,georgia_greene,1955.1984228474,251.5,1.0
2003,georgia_houston,385.0,1209.0,0.3184449958643507
2003,georgia_johnson,2870.0,754.0,1.0
2003,georgia_laurens,1830.0,4723.0,0.3874655939021808
2003,georgia_montgomery,1245.5,976.0,1.0
2003,georgia_pulaski,1123.0,695.0,1.0
2003,georgia_treutlen,111.0,344.0,0.3226744186046512
2003,georgia_twiggs,405.0,653.0,0.6202143950995406
2003,georgia_washington,1029.0,2316.0,0.44430051813471505
2003,georgia_wheeler,271.0,369.0,0.7344173441734417
2003,georgia_wilkinson,1955.1984228474,210.0,1.0
2003,georgia_bulloch,1304.0,8408.0,0.15509039010466222
2003,georgia_burke,1909.0,5776.0,0.330505540166205
2003,georgia_candler,486.0,1082.0,0.4491682070240296
2003,georgia_effingham,375.0,4056.0,0.09245562130177515
2003,georgia_emanuel,605.0,2490.0,0.2429718875502008
2003,georgia_jefferson,5404.0,7205.0,0.7500346981263012
2003,georgia_jenkins,1925.75,1424.0,1.0
2003,georgia_mcduffie,1955.1984228474,449.0,1.0
2003,georgia_richmond,8.0,1111.0,0.0072007200720072
2003,georgia_screven,2511.0,7144.0,0.3514837625979843
2003,georgia_hall,5.0,251.0,0.0199203187250996
2003,georgia_jackson,1955.1984228474,24.0,1.0
2003,georgia_walton,1955.1984228474,87.0,1.0
2003,georgia_franklin,100.0,223.0,0.4484304932735426
2003,georgia_hart,533.0,561.0,0.9500891265597148
2003,georgia_bartow,715.0,2029.0,0.3523903400689995
2003,georgia_chattooga,96.0,1309.0,0.07333842627960276
2003,georgia_floyd,531.75,2610.0,0.20373563218390806
2003,georgia_gordon,710.0,4530.0,0.15673289183222958
2003,georgia_murray,358.0,1957.0,0.1829330608073582
2003,georgia_atkinson,1041.0,2025.0,0.5140740740740741
2003,georgia_ben hill,3249.0,5662.0,0.5738255033557047
2003,georgia_berrien,945.0,3739.0,0.2527413746991174
2003,georgia_brooks,847.0,3967.0,0.21351146962440132
2003,georgia_clinch,66.0,464.0,0.14224137931034483
2003,georgia_coffee,2539.0,5204.0,0.48789392774788626
2003,georgia_colquitt,909.0,2517.0,0.36114421930870083
2003,georgia_cook,268.0,1485.0,0.18047138047138048
2003,georgia_crisp,341.0,1038.0,0.3285163776493256
2003,georgia_dooly,736.0,911.0,0.8079034028540066
2003,georgia_echols,55.0,660.0,0.08333333333333333
2003,georgia_irwin,4581.0,10108.0,0.453205381875742
2003,georgia_jeff davis,282.0,948.0,0.2974683544303797
2003,georgia_lanier,256.0,1165.0,0.21974248927038625
2003,georgia_lowndes,683.0,2778.0,0.2458603311735061
2003,georgia_telfair,596.0,743.0,0.8021534320323015
2003,georgia_tift,399.0,923.0,0.4322860238353196
2003,georgia_turner,783.0,1487.0,0.5265635507733692
2003,georgia_wilcox,735.0,1613.0,0.4556726596404216
2003,georgia_worth,1608.0,3344.0,0.48086124401913877
2003,georgia_appling,267.0,2733.0,0.09769484083424808
2003,georgia_bacon,147.0,865.0,0.1699421965317919
2003,georgia_brantley,68.0,1061.0,0.0640904806786051
2003,georgia_charlton,6.0,280.0,0.02142857142857143
2003,georgia_evans,480.0,1086.0,0.4419889502762431
2003,georgia_long,1955.1984228474,442.0,1.0
2003,georgia_pierce,2160.0,5428.0,0.39793662490788506
2003,georgia_tattnall,1736.0,3848.0,0.45114345114345117
2003,georgia_toombs,876.0,2443.0,0.35857552189930414
2003,georgia_ware,21.0,2935.0,0.007155025553662692
2003,georgia_wayne,1168.0,6332.0,0.18445988629185092
2003,georgia_baker,4494.0,7909.0,0.5682134277405487
2003,georgia_calhoun,1101.0,4050.0,0.27185185185185184
2003,georgia_clay,950.0,1330.0,0.7142857142857143
2003,georgia_decatur,3084.0,5478.0,0.5629791894852135
2003,georgia_dougherty,1242.0,1647.0,0.7540983606557377
2003,georgia_early,2495.0,5871.0,0.42497019247146994
2003,georgia_grady,1625.0,10868.0,0.14952153110047847
2003,georgia_lee,3209.0,4177.0,0.7682547282738807
2003,georgia_miller,6289.0,8337.0,0.7543480868417897
2003,georgia_mitchell,6546.0,9463.0,0.6917468033393216
2003,georgia_randolph,2019.0,2671.0,0.7558966679146387
2003,georgia_seminole,4868.0,7834.0,0.6213939239213684
2003,georgia_sumter,3202.0,6978.0,0.4588707366007452
2003,georgia_terrell,3949.0,7521.0,0.5250631564951469
2003,georgia_thomas,1270.0,6211.0,0.20447592980196425
2003,georgia_webster,590.0,2110.0,0.2796208530805687
2003,georgia_coweta,1955.1984228474,136.0,1.0
2003,georgia_haralson,1955.1984228474,849.0,1.0
2003,georgia_lamar,1955.1984228474,1036.0,1.0
