Year,sta_con,irrigated cropland area,cropland area,PIC
2003,arkansas_ashley,103914.0,127888.0,0.8125390967096209
2003,arkansas_chicot,168747.75,204257.5,0.8261520384808392
2003,arkansas_desha,187651.0,233590.0,0.8033349030352327
2003,arkansas_drew,58187.5,66400.0,0.8763177710843374
2003,arkansas_jefferson,176136.0,237741.0,0.7408734715509735
2003,arkansas_lincoln,113497.0,144753.0,0.7840735597880527
2003,arkansas_hempstead,490.0,43685.0,0.01121666475907062
2003,arkansas_howard,416.0,22892.0,0.018172287261925563
2003,arkansas_lafayette,10933.0,41624.0,0.26266096482798384
2003,arkansas_little river,5439.5,49918.0,0.10896870868223887
2003,arkansas_miller,4158.0,62228.0,0.06681879539757023
2003,arkansas_montgomery,394.0,16588.0,0.02375210995900651
2003,arkansas_pike,264.0,13071.0,0.020197383520771172
2003,arkansas_sevier,484.0,137199.3526234568,0.003527713438476175
2003,arkansas_crawford,3551.0,46215.0,0.07683652493779076
2003,arkansas_franklin,717.6666666666666,45751.0,0.015686360225277408
2003,arkansas_johnson,1172.25,35050.33333333333,0.03344476039219789
2003,arkansas_logan,883.0,55820.0,0.0158187029738445
2003,arkansas_polk,196.0,26130.0,0.007500956754688098
2003,arkansas_pope,2201.0,48110.0,0.04574932446476824
2003,arkansas_scott,23.0,139803.8526234568,0.00016451621016444704
2003,arkansas_sebastian,1369.0,30410.0,0.04501808615586978
2003,arkansas_yell,4938.0,55965.0,0.08823371750201019
2003,california_alameda,5059.0,11770.0,0.42982158028887
2003,california_contra costa,23027.0,26018.0,0.8850411253747406
2003,california_lake,16954.0,25665.333333333336,0.6605797703776819
2003,california_marin,1096.0,5823.166666666666,0.188213743953748
2003,california_monterey,249076.0,260072.0,0.9577194007813221
2003,california_napa,47007.0,52838.0,0.8896438169499225
2003,california_san benito,29285.0,34780.0,0.8420069005175388
2003,california_san francisco,7.0,1369.0806451612902,0.005112920137129932
2003,california_san luis obispo,70117.0,108465.0,0.64644816300189
2003,california_san mateo,4581.0,6273.0,0.7302725968436155
2003,california_santa clara,17307.0,22764.0,0.7602793885081708
2003,california_santa cruz,23399.0,25846.25,0.9053150843932872
2003,california_sonoma,69686.0,91537.0,0.7612877852671597
2003,california_lassen,33426.0,43089.0,0.7757432291304045
2003,california_modoc,92883.0,107969.0,0.8602747084811381
2003,california_plumas,6324.0,14680.5,0.4307755185450087
2003,california_del norte,3025.0,103892.60416666669,0.029116605789833046
2003,california_humboldt,7746.0,43353.66703056768,0.1786700071885147
2003,california_mendocino,23591.0,35138.333333333336,0.6713750415026324
2003,california_butte,212807.0,217912.0,0.9765731120819413
2003,california_colusa,278458.0,296550.0,0.93899173832406
2003,california_glenn,217055.0,227372.0,0.9546250197913552
2003,california_sacramento,106243.0,123999.0,0.8568052968169099
2003,california_solano,96117.0,131408.0,0.7314394861804456
2003,california_sutter,242044.0,267891.0,0.9035167288188106
2003,california_tehama,61799.0,69409.0,0.8903600397642957
2003,california_yolo,287782.0,315336.0,0.9126201892584418
2003,california_yuba,76499.0,79171.0,0.966250268406361
2003,california_fresno,1064332.0,1078900.0,0.9864973584206136
2003,california_kern,789376.0,798722.0,0.9882988073447332
2003,california_kings,404695.0,414608.0,0.9760906687762899
2003,california_madera,298123.0,314715.0,0.9472792844319463
2003,california_merced,461311.0,479156.0,0.9627574318176126
2003,california_san joaquin,488758.0,517267.0,0.94488533001332
2003,california_stanislaus,334705.0,347750.0,0.9624874191229331
2003,california_tulare,642681.0,682460.0,0.9417123347888521
2003,california_alpine,570.0,33071.960981677315,0.017235143701209436
2003,california_amador,4938.0,34813.16703056768,0.14184288363262648
2003,california_calaveras,2145.0,3442.75,0.6230484351172755
2003,california_el dorado,3985.0,6258.0,0.6367849153084052
2003,california_inyo,3812.0,37408.018653708394,0.1019032853701302
2003,california_mariposa,107.0,24178.50980392157,0.004425417483034683
2003,california_mono,11297.0,14869.410736579275,0.7597476591462351
2003,california_nevada,2656.0,126019.86397058825,0.021076042429468766
2003,california_placer,19850.0,27049.0,0.7338533772043329
2003,california_sierra,2010.0,6480.769681834998,0.310148346365995
2003,california_tuolumne,530.0,24422.50980392157,0.021701291319162326
2003,california_shasta,14257.0,27316.333333333336,0.5219221711064198
2003,california_siskiyou,104695.0,118489.0,0.8835841301724211
2003,california_trinity,508.0,1121.5,0.45296477931341955
2003,california_imperial,475294.0,475294.0,1.0
2003,california_los angeles,22117.0,24033.0,0.9202762867723546
2003,california_orange,10325.0,13215.166666666668,0.7812992647337024
2003,california_riverside,186700.0,195372.0,0.9556128820915997
2003,california_san bernardino,33717.0,37751.0,0.8931419035257344
2003,california_san diego,65519.0,72683.0,0.9014349985553706
2003,california_santa barbara,97772.0,105137.0,0.92994854332918
2003,california_ventura,99866.0,103262.0,0.9671127810811334
2003,colorado_adams,24799.0,260664.0,0.09513780192124728
2003,colorado_arapahoe,3073.0,70449.0,0.04362020752601172
2003,colorado_cheyenne,28566.0,107929.0,0.2646739986472588
2003,colorado_denver,9.0,9.0,1.0
2003,colorado_douglas,2730.0,8119.0,0.33624830644168
2003,colorado_el paso,8427.0,18674.333333333336,0.45126108919550895
2003,colorado_elbert,5528.0,49617.0,0.11141342684966846
2003,colorado_kiowa,3606.0,48540.20753512133,0.07428892835678286
2003,colorado_kit carson,134760.0,314564.5,0.4284018063068147
2003,colorado_lincoln,6701.666666666667,163987.0,0.04086706060033214
2003,colorado_phillips,83321.0,219482.8280075188,0.3796242319109615
2003,colorado_washington,42874.0,332494.0,0.12894668775977913
2003,colorado_yuma,250552.0,391090.0,0.6406504896571121
2003,colorado_boulder,25636.0,33701.0,0.7606895937806
2003,colorado_jefferson,938.0,6464.916666666667,0.1450908106575233
2003,colorado_larimer,49635.0,64332.0,0.7715444879686626
2003,colorado_logan,99846.0,255146.0,0.39132888620632894
2003,colorado_morgan,127816.0,190850.0,0.6697196751375426
2003,colorado_sedgwick,40433.0,113484.33871382855,0.3562870476952699
2003,colorado_weld,300959.0,422385.0,0.71252293523681
2003,colorado_chaffee,6286.0,86794.85634920633,0.07242364656621131
2003,colorado_clear creek,124.0,5809.746806039489,0.021343443034573646
2003,colorado_eagle,5448.0,12231.666666666666,0.44540128082845076
2003,colorado_grand,17741.0,19706.0,0.9002841774078961
2003,colorado_gunnison,22343.0,25079.0,0.8909047410183819
2003,colorado_jackson,35360.0,44650.328007518794,0.7919314723521321
2003,colorado_lake,206.0,2878.734801943884,0.07155921408977901
2003,colorado_moffat,15508.0,36213.0,0.428244000773203
2003,colorado_park,5384.75,5705.0,0.9438650306748466
2003,colorado_pitkin,2485.0,2790.0,0.8906810035842294
2003,colorado_rio blanco,17299.0,21652.75,0.7989285425638776
2003,colorado_routt,22790.0,44987.0,0.5065907928957254
2003,colorado_summit,1749.0,3132.6311787072245,0.558316603591291
2003,colorado_teller,612.0,2070.166666666667,0.29562837130665803
2003,colorado_alamosa,77502.0,78967.66666666667,0.9814396609582824
2003,colorado_conejos,44521.0,51976.0,0.8565684161920887
2003,colorado_costilla,29895.0,34330.0,0.8708127002621614
2003,colorado_mineral,757.0,2996.1143295464153,0.2526605852569728
2003,colorado_rio grande,78426.0,79993.0,0.9804107859437701
2003,colorado_saguache,77948.0,86644.66666666666,0.899628367200905
2003,colorado_baca,46880.0,161151.5,0.2909063831239548
2003,colorado_bent,27381.0,33967.5,0.8060940604990064
2003,colorado_crowley,4834.0,15119.5,0.31971956744601343
2003,colorado_custer,2448.0,8114.0,0.3017007641114124
2003,colorado_fremont,6364.0,25399.89209827357,0.25055224547322236
2003,colorado_huerfano,1441.0,6275.0,0.2296414342629482
2003,colorado_las animas,3781.0,16766.5,0.22550919989264306
2003,colorado_otero,32147.0,44752.75,0.7183245722329913
2003,colorado_prowers,91727.0,170688.0,0.53739571616048
2003,colorado_pueblo,18891.0,22077.666666666664,0.8556610752947927
2003,colorado_archuleta,3080.0,4093.0,0.7525042755924749
2003,colorado_delta,31721.0,34803.0,0.9114444157112892
2003,colorado_dolores,8238.0,40266.5,0.20458693951547813
2003,colorado_garfield,18897.0,22073.0,0.8561138041951706
2003,colorado_hinsdale,508.0,1586.6311787072243,0.32017522838162976
2003,colorado_la plata,30233.0,33501.666666666664,0.902432714790309
2003,colorado_mesa,44471.0,49417.0,0.8999129854098792
2003,colorado_montezuma,33417.0,41320.0,0.8087366892545983
2003,colorado_montrose,56121.0,65092.25,0.8621763727632706
2003,colorado_ouray,8522.0,87391.273015873,0.0975154578472857
2003,colorado_san miguel,2249.0,82762.523015873,0.027174135321716388
2003,connecticut_fairfield,383.0,4528.333333333333,0.08457857931542143
2003,connecticut_hartford,5361.0,25601.5,0.2094017928636994
2003,connecticut_litchfield,338.0,34804.66666666667,0.009711341391001205
2003,connecticut_middlesex,725.0,6886.75,0.10527462155588631
2003,connecticut_new haven,1354.0,10101.0,0.13404613404613405
2003,connecticut_new london,587.0,19289.0,0.030431852351080927
2003,connecticut_tolland,479.3333333333333,18357.0,0.02611174665431897
2003,connecticut_windham,257.0,26516.0,0.00969226127621059
2003,delaware_kent,31794.0,151787.0,0.20946457865298082
2003,delaware_new castle,4881.0,57515.0,0.08486481787359819
2003,delaware_sussex,71195.0,223803.0,0.3181145918508688
2003,florida_alachua,12052.0,39281.0,0.306814999618136
2003,florida_bradford,210.0,7487.0,0.02804861760384667
2003,florida_citrus,775.0,4051.0,0.19131078745988644
2003,florida_clay,501.0,3311.5,0.1512909557602295
2003,florida_flagler,4368.0,10685.087788259958,0.40879402084082633
2003,florida_gilchrist,3182.0,26167.75,0.12160006114396538
2003,florida_hernando,1283.0,12139.0,0.10569239640827086
2003,florida_hillsborough,41671.0,59342.0,0.7022176536011594
2003,florida_lake,19334.0,35899.0,0.5385665338867378
2003,florida_levy,18701.0,39122.0,0.4780174837687235
2003,florida_marion,4213.0,38279.916666666664,0.11005771085360253
2003,florida_orange,13967.0,16904.0,0.8262541410317085
2003,florida_osceola,17871.0,27448.0,0.65108568930341
2003,florida_pasco,11370.0,51178.46708333333,0.22216374674697378
2003,florida_pinellas,280.0,2643.964246424642,0.10590158334351006
2003,florida_polk,114180.0,134101.0,0.8514477893528013
2003,florida_putnam,5670.0,9177.0,0.6178489702517163
2003,florida_seminole,1548.0,2564.0,0.6037441497659907
2003,florida_st. johns,21688.0,22600.166666666664,0.9596389407157765
2003,florida_sumter,3576.0,22382.333333333332,0.159768865325331
2003,florida_union,1024.0,8527.0,0.12008912865017005
2003,florida_volusia,8524.0,48277.4975455182,0.1765625898890718
2003,florida_baker,415.0,6777.398980815347,0.06123293038741448
2003,florida_columbia,1845.0,15708.75,0.11745046550489377
2003,florida_dixie,2981.0,43204.229859666884,0.06899787381195514
2003,florida_duval,1842.0,40556.830878851535,0.045417749860739626
2003,florida_hamilton,4238.0,21094.5,0.20090544928772902
2003,florida_lafayette,3142.0,13825.5,0.22726122020903403
2003,florida_madison,3290.0,21744.0,0.15130610743193523
2003,florida_nassau,122.0,8037.030462184875,0.015179735920378006
2003,florida_suwannee,16169.0,40012.0,0.4041037688693392
2003,florida_taylor,86.0,1208.8333333333333,0.07114297532055701
2003,florida_bay,1682.0,5901.398980815347,0.2850171638060662
2003,florida_calhoun,1750.0,19532.666666666664,0.08959350148469232
2003,florida_escambia,2212.0,28456.0,0.07773404554399775
2003,florida_gadsden,3693.0,37062.800416666665,0.0996416881207742
2003,florida_holmes,550.0,17690.333333333332,0.031090426033050067
2003,florida_jackson,12474.0,73936.0,0.16871348193031813
2003,florida_jefferson,2247.6666666666665,18670.25,0.12038760416527183
2003,florida_leon,1559.0,40217.830878851535,0.038763900636416396
2003,florida_liberty,27.0,359.75,0.07505211952744961
2003,florida_okaloosa,423.0,10739.0,0.03938914237824751
2003,florida_santa rosa,6041.0,45057.0,0.1340746165967552
2003,florida_wakulla,118.0,5842.898980815347,0.020195454411832684
2003,florida_walton,1457.0,16665.0,0.08742874287428742
2003,florida_washington,941.0,12706.333333333332,0.07405755659907133
2003,florida_brevard,10729.0,15651.0,0.6855153025365791
2003,florida_broward,3508.0,34703.71708333333,0.10108427266094612
2003,florida_charlotte,18366.33333333333,26653.75,0.6890712688958712
2003,florida_collier,54185.0,55535.75,0.9756778291460906
2003,florida_de soto,76941.0,87005.0,0.8843284868685708
2003,florida_glades,43234.0,52786.0,0.819042928049104
2003,florida_hardee,55749.0,70728.0,0.7882168306752629
2003,florida_hendry,200320.0,203203.0,0.9858122173393109
2003,florida_highlands,89819.0,99362.0,0.9039572472373745
2003,florida_indian river,63434.0,65311.0,0.9712605839751344
