Year,sta_con,irrigated soybean area,soybean area,PIC
2003,georgia_taylor,721.0,578.0,1.0
2003,hawaii_kauai,0.0,0.0,
2003,illinois_logan,464.0,156508.0,0.00296470467963299
2003,illinois_marshall,686.0,73796.0,0.009295896796574341
2003,illinois_mason,27591.0,93096.0,0.2963714874967775
2003,illinois_mclean,344.5,308682.0,0.0011160352725458564
2003,illinois_menard,500.0,59670.0,0.008379420144126026
2003,illinois_peoria,1691.0,90166.0,0.01875429762881796
2003,illinois_tazewell,8384.0,128538.0,0.06522584760926729
2003,illinois_woodford,2251.062103929024,127886.0,0.017602099556863333
2003,illinois_champaign,1808.0,258974.0,0.00698139581579618
2003,illinois_ford,165.0,132601.0,0.0012443345072812421
2003,illinois_iroquois,474.0,295052.0,0.0016064964819760585
2003,illinois_kankakee,2738.0,143260.0,0.019112103867094794
2003,illinois_piatt,240.0,118285.0,0.002028997759648307
2003,illinois_vermilion,2251.062103929024,201953.0,0.011146465286126098
2003,illinois_clark,2227.0,116716.0,0.01908050310154563
2003,illinois_crawford,2780.0,90970.0,0.030559525118170824
2003,illinois_douglas,79.0,104025.0,0.0007594328286469598
2003,illinois_jasper,2251.062103929024,122401.0,0.01839088000857039
2003,illinois_lawrence,3265.0,86971.0,0.0375412493819779
2003,illinois_marion,87.0,91503.0,0.0009507884987377464
2003,illinois_moultrie,2251.062103929024,82937.0,0.027141831799185213
2003,illinois_boone,2251.062103929024,55073.0,0.04087415074408556
2003,illinois_de kalb,504.0,140084.0,0.003597841295222866
2003,illinois_kane,2251.062103929024,77197.0,0.02915996870252761
2003,illinois_kendall,2251.062103929024,70558.0,0.031903711895589784
2003,illinois_la salle,2251.062103929024,247094.0,0.00911014473815238
2003,illinois_mchenry,1090.0,77340.0,0.014093612619601759
2003,illinois_bureau,780.0,175200.0,0.004452054794520548
2003,illinois_carroll,4056.0,54687.0,0.07416753524603653
2003,illinois_henry,1757.0,183246.0,0.009588203835281535
2003,illinois_lee,3981.0,141818.0,0.028071189834858762
2003,illinois_mercer,2061.0,99890.0,0.02063269596556212
2003,illinois_ogle,365.0,114012.0,0.003201417394660211
2003,illinois_rock island,953.0,53804.0,0.017712437736971228
2003,illinois_stephenson,2251.062103929024,88687.0,0.02538209775873605
2003,illinois_whiteside,11994.0,123369.0,0.09722053352138706
2003,illinois_winnebago,456.0,61542.0,0.007409573949497904
2003,illinois_edwards,100.0,43597.0,0.002293735807509691
2003,illinois_gallatin,7249.0,56744.0,0.1277491893416044
2003,illinois_hardin,2251.062103929024,3305.0,0.6811080496003098
2003,illinois_jefferson,2251.062103929024,98704.0,0.02280618925199611
2003,illinois_massac,3680.0,46809.0,0.07861735990941913
2003,illinois_pope,139.0,15317.0,0.00907488411568845
2003,illinois_saline,2251.062103929024,54206.0,0.04152791395655507
2003,illinois_wabash,643.3333333333334,46078.0,0.013961832834179726
2003,illinois_white,6156.0,126760.0,0.048564215840959296
2003,illinois_alexander,1517.0,43682.0,0.03472826335790486
2003,illinois_clinton,353.0,103542.0,0.003409244557763999
2003,illinois_monroe,296.0,64569.0,0.004584243212687203
2003,illinois_perry,115.0,81941.0,0.0014034488229335742
2003,illinois_pulaski,1740.0,40084.0,0.043408841432990716
2003,illinois_randolph,2251.062103929024,101094.0,0.022267019842216393
2003,illinois_st clair,141.0,121953.0,0.001156183119726452
2003,illinois_union,1200.0,39314.0,0.030523477641552627
