sta_con,Longitude,Latitude
california_orange,-117.7608619,33.70302468
california_placer,-120.7163443,39.0641804
california_plumas,-120.8393053,40.00465663
california_riverside,-115.9927816,33.74552492
california_sacramento,-121.339182,38.45295782
california_san benito,-121.0739679,36.60571703
california_san bernardino,-116.1796637,34.84273279
california_san diego,-116.7321943,33.03467961
california_san francisco,-122.4433494,37.75536313
california_san joaquin,-121.2706328,37.93410535
california_san luis obispo,-120.40591,35.38769386
california_san mateo,-122.33019,37.42182617
california_santa barbara,-120.0181739,34.67281324
california_santa clara,-121.6928912,37.23123906
california_santa cruz,-122.0014101,37.05657051
california_shasta,-122.0410689,40.76321307
california_sierra,-120.517287,39.58110326
california_siskiyou,-122.5399108,41.59278415
california_solano,-121.9293484,38.278903
california_sonoma,-122.8875896,38.52873956
california_stanislaus,-120.9971645,37.55955141
california_sutter,-121.6936216,39.03419851
california_tehama,-122.2346677,40.12530175
california_trinity,-123.1129316,40.6501425
california_tulare,-118.8014421,36.22021154
california_tuolumne,-119.9539653,38.02777643
california_ventura,-119.0852877,34.45691532
california_yolo,-121.9021161,38.68673649
california_yuba,-121.3501145,39.26937584
colorado_adams,-104.3381536,39.87337011
colorado_alamosa,-105.7876914,37.5716173
colorado_arapahoe,-104.3366337,39.6488905
colorado_archuleta,-107.0470105,37.19322984
colorado_baca,-102.5602818,37.31878679
colorado_bent,-103.070701,37.95332976
colorado_boulder,-105.3573521,40.09187337
colorado_broomfield,-105.0525849,39.95415408
colorado_chaffee,-106.1936856,38.74709205
colorado_cheyenne,-102.6032374,38.82687348
colorado_clear creek,-105.6420983,39.68771814
colorado_conejos,-106.190239,37.19930367
colorado_costilla,-105.4267502,37.27713975
colorado_crowley,-103.7850839,38.32619435
colorado_custer,-105.3653677,38.10873245
colorado_delta,-107.8617149,38.85960354
colorado_denver,-104.8763023,39.75896713
colorado_dolores,-108.5191468,37.75093883
colorado_douglas,-104.9279345,39.33039529
colorado_eagle,-106.6952687,39.62784066
colorado_el paso,-104.5260861,38.8314408
colorado_elbert,-104.1356469,39.28572405
colorado_fremont,-105.4395849,38.47256728
colorado_garfield,-107.9076223,39.59947254
colorado_gilpin,-105.5196295,39.85533043
colorado_grand,-106.1167316,40.10142552
colorado_gunnison,-107.0296033,38.66481376
colorado_hinsdale,-107.2982259,37.81957386
colorado_huerfano,-104.9606118,37.68283827
colorado_jackson,-106.3422614,40.66658118
colorado_jefferson,-105.2484789,39.58484832
colorado_kiowa,-102.7410227,38.43138881
colorado_kit carson,-102.6012167,39.30496134
colorado_la plata,-107.8418621,37.28447012
colorado_lake,-106.3439272,39.20297107
colorado_larimer,-105.4610278,40.66749513
colorado_las animas,-104.0355098,37.31506809
colorado_lincoln,-103.5126184,38.98757063
colorado_logan,-103.1097145,40.72463531
colorado_mesa,-108.4656629,39.01799253
colorado_mineral,-106.9226017,37.6684161
colorado_moffat,-108.2065155,40.61807415
colorado_montezuma,-108.5950204,37.33791545
colorado_montrose,-108.2685394,38.40100091
colorado_morgan,-103.8086753,40.26242649
colorado_otero,-103.7160519,37.9026619
colorado_ouray,-107.7667779,38.15264523
colorado_park,-105.7162993,39.11844251
colorado_phillips,-102.3563604,40.59354772
colorado_pitkin,-106.9152267,39.21710703
colorado_prowers,-102.3923708,37.95419847
colorado_pueblo,-104.5117954,38.1714857
colorado_rio blanco,-108.2161541,39.98044667
colorado_rio grande,-106.3829775,37.58053476
colorado_routt,-106.9903101,40.4849482
colorado_saguache,-106.2772348,38.07810389
colorado_san juan,-107.6747175,37.76222643
colorado_san miguel,-108.4048027,38.00303674
colorado_sedgwick,-102.3514428,40.87555624
colorado_summit,-106.1158473,39.63322839
colorado_teller,-105.1617438,38.88214964
colorado_washington,-103.2004559,39.96963799
colorado_weld,-104.3919806,40.55580243
colorado_yuma,-102.4221018,40.00299323
connecticut_fairfield,-73.38973589,41.27318745
connecticut_hartford,-72.73281062,41.80663095
connecticut_litchfield,-73.24593103,41.79313353
connecticut_middlesex,-72.53411982,41.4631501
connecticut_new haven,-72.93213821,41.41092099
connecticut_new london,-72.1011988,41.48984492
connecticut_tolland,-72.33658014,41.85523858
connecticut_windham,-71.98763435,41.83086229
delaware_kent,-75.56843744,39.08588343
delaware_new castle,-75.63774998,39.57733491
delaware_sussex,-75.39799696,38.660979
district of columbia_district of columbia,-77.01538038,38.90863992
florida_alachua,-82.35765393,29.67504111
florida_baker,-82.28490774,30.33104744
florida_bay,-85.61502302,30.27894459
florida_bradford,-82.16780101,29.95026579
florida_brevard,-80.74294032,28.26351445
florida_broward,-80.48771603,26.15204118
florida_calhoun,-85.19735788,30.405885
florida_charlotte,-81.89889366,26.90631038
florida_citrus,-82.47209591,28.84996647
florida_clay,-81.85209255,29.98431697
florida_collier,-81.34271971,26.11558858
florida_columbia,-82.62171417,30.22361587
florida_desoto,-81.80918701,27.18647569
florida_dixie,-83.1589036,29.60942305
florida_duval,-81.67095906,30.33276138
florida_escambia,-87.3765932,30.70153925
florida_flagler,-81.31412806,29.461373
florida_franklin,-84.81330141,29.87610033
florida_gadsden,-84.6135345,30.57974748
florida_gilchrist,-82.80039727,29.72582306
florida_glades,-81.18861698,26.9565087
florida_gulf,-85.22315815,29.95466634
florida_hamilton,-82.9465698,30.49610185
florida_hardee,-81.81019868,27.49260259
florida_hendry,-81.16519732,26.55385901
florida_hernando,-82.42202777,28.55295475
florida_highlands,-81.34080111,27.34352081
florida_hillsborough,-82.30894333,27.9295009
florida_holmes,-85.81451616,30.86800422
florida_indian river,-80.61482392,27.69283764
florida_jackson,-85.21588646,30.79580639
florida_jefferson,-83.89536269,30.4379663
florida_lafayette,-83.18093472,29.9853455
florida_lake,-81.70953235,28.7686077
florida_lee,-81.82732041,26.57937441
florida_leon,-84.27766847,30.45846129
florida_levy,-82.74178349,29.32042467
florida_liberty,-84.8830838,30.24113872
florida_madison,-83.46979757,30.44367228
florida_manatee,-82.30016921,27.47143999
florida_marion,-82.05485429,29.21104153
florida_martin,-80.43787868,27.07425418
florida_miami-dade,-80.56605548,25.61296337
florida_monroe,-81.06484552,25.40260421
florida_nassau,-81.80405563,30.61138436
florida_okaloosa,-86.5972518,30.70635375
florida_okeechobee,-80.88818948,27.38658726
florida_orange,-81.32363368,28.51432552
florida_osceola,-81.14956962,28.06270164
florida_palm beach,-80.46689757,26.64669302
florida_pasco,-82.39217003,28.30916718
florida_pinellas,-82.72177876,27.92870565
florida_polk,-81.69766731,27.94876017
florida_putnam,-81.74391144,29.61035706
florida_saint johns,-81.43565172,29.90021865
florida_saint lucie,-80.48285646,27.37647274
florida_santa rosa,-87.01786139,30.73268191
florida_sarasota,-82.32279159,27.1808419
florida_seminole,-81.23636765,28.71720914
florida_sumter,-82.08103126,28.70456266
florida_suwannee,-82.99155934,30.1960616
florida_taylor,-83.60293875,30.04697174
florida_union,-82.37087053,30.04349164
florida_volusia,-81.18396235,29.05688781
florida_wakulla,-84.40273714,30.16931275
florida_walton,-86.16282202,30.65922295
florida_washington,-85.66523456,30.61052525
georgia_appling,-82.28904786,31.7492266
georgia_atkinson,-82.88033582,31.29715342
georgia_bacon,-82.45280257,31.55369118
georgia_baker,-84.44407603,31.32601803
georgia_baldwin,-83.25033628,33.06917905
georgia_banks,-83.49724795,34.35410864
georgia_barrow,-83.71276182,33.99309042
georgia_bartow,-84.84078445,34.23792672
georgia_ben hill,-83.22065986,31.75990772
georgia_berrien,-83.22984153,31.27619018
georgia_bibb,-83.69788464,32.80680608
georgia_bleckley,-83.32768526,32.43451907
georgia_brantley,-81.98181977,31.19678226
georgia_brooks,-83.58020795,30.84143008
georgia_bryan,-81.44751311,32.01696469
georgia_bulloch,-81.74343814,32.39711003
georgia_burke,-82.0002579,33.06104426
georgia_butts,-83.95775914,33.28860526
georgia_calhoun,-84.62475109,31.5293104
georgia_camden,-81.67543596,30.93235052
georgia_candler,-82.07374958,32.40326974
georgia_carroll,-85.07991695,33.58260402
georgia_catoosa,-85.1385687,34.90427494
georgia_charlton,-82.13826475,30.78253442
georgia_chatham,-81.13944494,32.00947599
georgia_chattahoochee,-84.78862422,32.34657803
georgia_chattooga,-85.3460485,34.47437034
georgia_cherokee,-84.47607168,34.24394273
georgia_clarke,-83.36714651,33.95139527
georgia_clay,-84.98191574,31.62660862
georgia_clayton,-84.35763662,33.54211321
georgia_clinch,-82.70620145,30.91487384
georgia_cobb,-84.57637224,33.94146329
georgia_coffee,-82.84913458,31.54933573
georgia_colquitt,-83.76869252,31.18833441
georgia_columbia,-82.26346114,33.54442539
georgia_cook,-83.43049601,31.15409908
georgia_coweta,-84.76353418,33.35348552
georgia_crawford,-83.98681664,32.7150274
georgia_crisp,-83.76836469,31.92293971
georgia_dade,-85.50473834,34.8554758
georgia_dawson,-84.17076022,34.44422708
georgia_decatur,-84.57904322,30.87862148
georgia_dekalb,-84.22681065,33.77173824
